I|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram iTBANZ processed
T|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram ID 26B received
I|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram iBLENDEANZ processed
T|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram iGGANZ(2, 3036) received
T|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram iGGANZ(107, 1) received
T|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram ID 7A received
I|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram iTBANZ processed
T|23.07.2009 15:00:40:343 |     |243   |(94)|Telegram ID 29202 received
T|23.07.2009 15:00:40:343 |     |240   |(e8)|Telegram ID 29202 received
I|23.07.2009 15:00:40:343 |     |243   |(94)|Telegram TURNON from ApId 65 to ApId F3 (8 objects) processed
I|23.07.2009 15:00:40:343 |     |243   |(e8)|Telegram TURNON from ApId 65 to ApId 10 (8 objects) processed
T|23.07.2009 15:00:40:343 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:343 |     |243   |(94)|Telegram iGGANZ(18, -4165) received
T|23.07.2009 15:00:40:359 |     |243   |(94)|Telegram ID 26B received
I|23.07.2009 15:00:40:359 |     |243   |(94)|Telegram iBLENDEANZ processed
T|23.07.2009 15:00:40:359 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:359 |     |243   |(94)|Telegram iGGANZ(19, 11793) received
T|23.07.2009 15:00:40:359 |     |243   |(94)|Telegram ID 7A received
I|23.07.2009 15:00:40:359 |     |243   |(94)|Telegram iTBANZ processed
T|23.07.2009 15:00:40:375 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:375 |     |243   |(94)|Telegram iGGANZ(17, 900) received
T|23.07.2009 15:00:40:375 |     |243   |(94)|Telegram ID 26B received
I|23.07.2009 15:00:40:375 |     |243   |(94)|Telegram iBLENDEANZ processed
T|23.07.2009 15:00:40:375 |     |243   |(94)|Telegram ID 2B6 received
I|23.07.2009 15:00:40:375 |     |243   |(94)|Telegram iDFRALLGANZ2 processed
T|23.07.2009 15:00:40:375 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:375 |     |243   |(94)|Telegram iGGANZ(107, 0) received
T|23.07.2009 15:00:40:390 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:390 |     |243   |(94)|Telegram iGGANZ(18, -4165) received
T|23.07.2009 15:00:40:390 |     |243   |(94)|Telegram ID 7A received
I|23.07.2009 15:00:40:390 |     |243   |(94)|Telegram iTBANZ processed
T|23.07.2009 15:00:40:390 |     |243   |(94)|Telegram ID 26B received
I|23.07.2009 15:00:40:390 |     |243   |(94)|Telegram iBLENDEANZ processed
T|23.07.2009 15:00:40:406 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:406 |     |243   |(94)|Telegram iGGANZ(19, 11793) received
T|23.07.2009 15:00:40:406 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:406 |     |243   |(94)|Telegram iGGANZ(17, 900) received
T|23.07.2009 15:00:40:421 |     |243   |(94)|Telegram ID 7A received
I|23.07.2009 15:00:40:421 |     |243   |(94)|Telegram iTBANZ processed
T|23.07.2009 15:00:40:421 |     |243   |(94)|Telegram ID 26B received
I|23.07.2009 15:00:40:421 |     |243   |(94)|Telegram iBLENDEANZ processed
T|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram iGGANZ(108, 1) received
T|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram iGGANZ(2, 3036) received
T|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram ID 7A received
I|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram iTBANZ processed
T|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram iGGANZ(3, 0) received
T|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram ID 26B received
I|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram iBLENDEANZ processed
T|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram iGGANZ(4, 4565) received
T|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram ID 2B6 received
I|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram iDFRALLGANZ2 processed
T|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:437 |     |243   |(94)|Telegram iGGANZ(107, 1) received
T|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram iGGANZ(18, -4165) received
T|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram iGGANZ(19, 11792) received
T|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram iGGANZ(17, 900) received
T|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram iGGANZ(105, 0) received
T|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram iGGANZ(108, 0) received
T|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:468 |     |243   |(94)|Telegram iGGANZ(2, 3036) received
I|23.07.2009 15:00:40:500 |     |240   |(1bc)|aServInit APID = F0
T|23.07.2009 15:00:40:500 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:500 |     |243   |(94)|Telegram iGGANZ(3, 0) received
T|23.07.2009 15:00:40:515 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:515 |     |243   |(94)|Telegram iGGANZ(4, 4565) received
T|23.07.2009 15:00:40:515 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:515 |     |243   |(94)|Telegram iGGANZ(107, 0) received
T|23.07.2009 15:00:40:531 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:531 |     |243   |(94)|Telegram iGGANZ(18, -4165) received
T|23.07.2009 15:00:40:531 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:531 |     |243   |(94)|Telegram iGGANZ(19, 11792) received
T|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram iGGANZ(17, 900) received
T|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram iGGANZ(105, 0) received
T|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram iGGANZ(92, 0) received
T|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram iGGANZ(68, 555) received
T|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram iGGANZ(108, 1) received
T|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:546 |     |243   |(94)|Telegram iGGANZ(2, 3036) received
T|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram iGGANZ(3, 0) received
T|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram iGGANZ(68, 0) received
T|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram iGGANZ(4, 4565) received
T|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram iGGANZ(109, 1) received
